"Address","Garden_property_name","Location_description","Managed_by","Total_size","Plots","Size","Annual_Rent","Status","geometry"
"410 Old Lynchburg Road, Charlottesville VA 22903","New Roots Farm & Community Gardens","410 Old Lynchburg Road, Charlottesville VA 22903","IRC New Roots","3 acres",59,"400 - 3000 sq ft","$25-$200+","Existing",c(-78.5178678321813, 38.0124930690205)
"Almere Ave, Charlottesville, VA 22902","The Haven Community Garden","Corner of Almere Ave. and Burnet St, next to Oakwood Cemetery, Charlottesville VA 22902","IRC New Roots","6,000 sq ft",3,"2000 sq ft","varies","Existing",c(-78.486894, 38.024983)
"5th St SW, Charlottesville, VA 22902","5th Street Community Garden","5th Street SW, between Berring St. and Brookwood Drive, Charlottesville VA 22902","IRC New Roots","11500sq ft",20,"450 sq ft","$25 ","Existing",c(-78.489332, 38.025525)
"221 4th St SW, Charlottesville VA 22903","4th Street Community Garden","221 4th St SW, Charlottesville VA 22903","IRC New Roots","1500 sq ft",5,"180 sq ft","$25 ","Existing",c(-78.4873090541079, 38.0295948943577)
"5290 Bellair Farm, Charlottesville VA 22902","New Roots Garden at Bellair Farm","5290 Bellair Farm, Charlottesville, VA 22902","IRC New Roots","1/2 acre",8,"varies",NA,"Existing",c(-78.5187920598439, 37.8918145524197)
"1740 Broadway St, Charlottesville, VA 22902","Visible records garden","behind Decipher Brewing","Urban Agriculture Collective","",NA," 2000 sq ft","","Existing",c(-78.4591831357273, 38.0210740885381)
"1118 Preston Ave, Charlottesville, VA 22903","Trinity Episcopal Church Bread and Roses program","Trinity Episcopal Church","Urban Agriculture Collective","",NA,"","","Existing",c(-78.4929479807631, 38.0444799897236)
"848 West St, Charlottesville, VA 22903","West St","","Urban Agriculture Collective","",NA,"9000 sq ft","","Existing",c(-78.489933, 38.036178)
"1000 Rio Rd E, Charlottesville, VA 22901","CATEC School","","Urban Agriculture Collective","",NA,"10000 sq ft","","Existing",c(-78.465205, 38.065297)
"418 Garrett St, Charlottesville, VA 22902","Friendship Court","","Urban Agriculture Collective","",NA,"15000 sq ft","","Lost",c(-78.4801951167794, 38.0278213955807)
"1000 1st St South, Charlottesville, VA 22902","South 1st St","","Urban Agriculture Collective","",NA,"8000 sq ft","","Lost",c(-78.4872099974015, 38.0205409758058)
"707 6th St SE, Charlottesville, VA 22902","6th Street","6th St and Monticello Ave.","Urban Agriculture Collective","",NA,"","","Lost",c(-78.48118825, 38.0246155)
NA,"Buford Middle School",NA,"City Schoolyard Garden",NA,NA,NA,NA,"Existing",c(-78.4980957442798, 38.0261284606084)
NA,"Burnley-Moran Elementary School",NA,"City Schoolyard Garden",NA,NA,NA,NA,"Existing",c(-78.4618908277615, 38.0356916434353)
NA,"Charlottesville High School",NA,"City Schoolyard Garden",NA,NA,NA,NA,"Existing",c(-78.475907994607, 38.0515423731651)
NA,"City of Promise",NA,"City Schoolyard Garden",NA,NA,NA,NA,"Existing",c(-78.4897866753449, 38.0335916526349)
NA,"Clark Elementary School",NA,"City Schoolyard Garden",NA,NA,NA,NA,"Existing",c(-78.4739973602156, 38.0222127718751)
NA,"Greenbrier Elementary School",NA,"City Schoolyard Garden",NA,NA,NA,NA,"Existing",c(-78.4701709609199, 38.0629551506723)
NA,"Jackson Via Elementary School",NA,"City Schoolyard Garden",NA,NA,NA,NA,"Existing",c(-78.5049469674158, 38.0138543972329)
NA,"Johnson Elementary School",NA,"City Schoolyard Garden",NA,NA,NA,NA,"Existing",c(-78.505288361924, 38.0217503346244)
NA,"Venable Elementary School",NA,"City Schoolyard Garden",NA,NA,NA,NA,"Existing",c(-78.4958404262734, 38.0381270861862)
